L1,L2,L3,Tag1,Tag2,Tag3,Tag4,Tag5,Flav1,Flav2,Flav3,Flav4,Flav5,Item Name
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,Mediterranean cuisine,Fresh,American cuisine,Animal produce,Sweet,Spicy,,,,Mediterranean & American-Style Just picked Piquant Chocolate Mousse
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,South Asian cuisine,Animal produce,Germanic and Slavic cuisine,,Sweet,Umami,,,,Müller Indian & Eastern European Style Sweet Lassi with Black Salt 150g
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,British cuisine,Fresh,,,Sweet,Sour,,,,Tesco Rhubarb & Custard Trifle 450g
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,Frozen food,Chinese cuisine,Animal produce,Southeast Asian cuisine,Sweet,,,,,Asda Chinese & Southeast Asian Style Lotus Seed Frozen Dessert 150g
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,French cuisine,South Asian cuisine,Fresh,Chinese cuisine,Sweet,,,,,"Sainsbury's French, Chinese & South Asian-Style Farm-fresh Mango Panna Cotta 150g"
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,Halal,Frozen food,Animal produce,Mexican cuisine,Sweet,Bitter,Umami,,,M&S Halal Mexican Dark Chocolate & Salted Cocoa Nib Flan Frozen Dessert
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,Animal produce,Italian cuisine,Southeast Asian cuisine,,Sweet,Salty,,,,Aldi Southeast Asian Style Salted Caramel Tiramisu 150g
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,Korean cuisine,Fresh,Animal produce,,Sweet,,,,,Morrisons Korean Style Farm-fresh & Sweet Red Bean Pudding 150g
Desserts,Chilled desserts,Other chilled desserts,Unhealthy option,Northern African cuisine,Middle Eastern cuisine,British cuisine,,Sweet,,,,,Waitrose Moroccan & Middle Eastern-Style Date & Orange Pudding 150g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,,,,,Angel Delight Classic Vanilla Dessert Mix 59g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,Low calorie alternative,,,Sweet,,,,,Jell-O Light Strawberry Reduced Calorie Dessert Mix 70g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Low calorie alternative,,,,Sweet,,,,,Dr. Oetker Light Vanilla Dessert calorie-reduced Mix 60g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,,,,,Bird's Classic Chocolate Dessert Mix 70g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,Animal produce,,,Sweet,,,,,Cadbury Classic Vanilla Instant Dessert Mix 70g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,,,,,Royal Instant Butterscotch Dessert Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Low calorie alternative,Unhealthy option,Animal produce,,Sweet,,,,,Nestle Light Butterscotch Dessert Mix 70g diet-friendly
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,Low calorie alternative,Animal produce,,Sweet,,,,,Aero diet-friendly Vanilla Dessert Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Halal,Unhealthy option,,,Sweet,Bitter,,,,Halal Dark Chocolate Mousse Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Low calorie alternative,,,,Sweet,Umami,,,,Hartley's Light Butterscotch & Malt Instant calorie-cut Dessert Mix 75g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Low calorie alternative,Unhealthy option,,,Sweet,,,,,Ruf Light Raspberry Dessert Reduced Calorie Mix 75g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Low calorie alternative,,,,Sweet,,,,,Gits Reduced Sugar Strawberry Jelly Mix 75g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,,,,,Instant Chocolate Dessert Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,,,,,Instant Chocolate Mousse Mix 90g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Animal produce,Unhealthy option,,,Sweet,,,,,Instant Vanilla Dessert Mix 75g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Kosher,Unhealthy option,,,Sweet,,,,,Kosher Chocolate Instant Pudding Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Kosher,Unhealthy option,Animal produce,,Sweet,,,,,Kosher Instant Vanilla Pudding Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Special event or occasion,Organic or additive free,,,Sweet,Umami,,,,Pesticide-free Celebration Chocolate & Malt Pudding Mix 150g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Organic or additive free,Low calorie alternative,,,Sweet,Salty,,,,calorie-conscious Pesticide-free Salted Caramel Pudding Mix
Desserts,Chilled desserts,Powdered desserts,Just cook food,Low calorie alternative,Organic or additive free,,,Sweet,Sour,,,,Pesticide-free Lemon Tart diet-friendly Mix 125g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Animal produce,Organic or additive free,Low calorie alternative,,Sweet,,,,,Organic Vanilla Pudding Mix 100g calorie-lowered
Desserts,Chilled desserts,Powdered desserts,Just cook food,Organic or additive free,,,,Sweet,Salty,,,,Chemical-free Sea Salt Butterscotch Dessert Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Organic or additive free,,,,Sweet,Salty,,,,Organically produced Sea Salt Caramel Pudding Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Organic or additive free,,,,Sweet,Umami,,,,Chemical-free Vanilla Custard Powder 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Organic or additive free,,,,Sweet,,,,,Naturally grown Vanilla Pudding Mix 100g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,Animal produce,,,Sweet,Salty,Spicy,,,Chilli Salted Caramel Pudding Mix 90g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Animal produce,Unhealthy option,,,Sweet,Spicy,,,,Spice-infused Chilli Betty Crocker 70g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,Spicy,,,,Fiery Chocolate Pudding Mix 80g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,Spicy,,,,Zesty Cinnamon Instant Dessert Mix 85g
Desserts,Chilled desserts,Powdered desserts,Just cook food,Unhealthy option,,,,Sweet,Spicy,,,,Hot Cinnamon Pudding Mix 100g
Desserts,Ice cream,Ice cream,Frozen food,Organic or additive free,Vegetarian or vegan alternative,Grab & go prepared food or drink,,Sweet,Salty,,,,Alpro Green Vegan Salted Caramel Ice Cream Pot
Desserts,Ice cream,Ice cream,Frozen food,Grab & go prepared food or drink,Vegetarian or vegan alternative,Unhealthy option,,Sweet,,,,,Swedish Glace Vegan Chocolate Fudge Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Vegetarian or vegan alternative,Grab & go prepared food or drink,,Sweet,,,,,Coconut Bliss Vegan Vanilla Ice Cream Pot
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Low calorie alternative,Vegetarian or vegan alternative,Kosher,Sweet,,,,,Ben & Jerry's Kosher Vegan Vanilla Ice Cream calorie-conscious Tub
Desserts,Ice cream,Ice cream,Frozen food,Kosher,Animal produce,Unhealthy option,,Sweet,,,,,Baskin Robbins Kosher Vanilla Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Special event or occasion,Unhealthy option,,,Sweet,Sour,,,,Grom Sour Lemon Celebration Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Animal produce,Grab & go prepared food or drink,Unhealthy option,,Sweet,Spicy,Sour,,,Graeter's Piquant & Tangy Mango Sorbet Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Vegetarian or vegan alternative,,,,Sweet,Spicy,,,,Booja-Booja Vegan Chilli Chocolate Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Carte D'Or Classic Creamy Vanilla Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Breyers Classic Vanilla Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Animal produce,Unhealthy option,Grab & go prepared food or drink,,Sweet,,,,,Talenti Indulgent Vanilla Ice Cream 500ml
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Kelly's of Cornwall Vanilla Indulgence Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Grab & go prepared food or drink,,,Sweet,,,,,Cornetto Classic Vanilla Ice Cream Cone
Desserts,Ice cream,Ice cream,Frozen food,Vegetarian or vegan alternative,Unhealthy option,Grab & go prepared food or drink,,Sweet,Sour,Salty,,,Veganz Vegan Salted Lemon Ice Cream Cone
Desserts,Ice cream,Ice cream,Frozen food,Organic or additive free,Low calorie alternative,Animal produce,Halal,Sweet,Sour,,,,lean Green & Black's Organically produced Halal Lemon Sorbet Ice Cream 500ml
Desserts,Ice cream,Ice cream,Frozen food,Special event or occasion,Grab & go prepared food or drink,Animal produce,Unhealthy option,Sweet,Sour,Umami,,,Haagen-Dazs Celebration Citrus Sorbet with Miso Swirl Ice Cream Cup
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Animal produce,Grab & go prepared food or drink,,Sweet,Sour,,,,Friendly's Tart Raspberry Ripple Ice Cream Cup
Desserts,Ice cream,Ice cream,Frozen food,Low calorie alternative,Grab & go prepared food or drink,Unhealthy option,Animal produce,Sweet,Umami,Sour,,,Halo reduced-calorie Top Sour Cherry & Matcha Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Low calorie alternative,Vegetarian or vegan alternative,Unhealthy option,Grab & go prepared food or drink,Sweet,,,,,Rebel light Vegan Vanilla Ice Cream Cup
Desserts,Ice cream,Ice cream,Frozen food,Animal produce,Unhealthy option,Grab & go prepared food or drink,,Sweet,,,,,Magnum Double Chocolate Indulgence Ice Cream Stick
Desserts,Ice cream,Ice cream,Frozen food,Halal,Animal produce,Grab & go prepared food or drink,Unhealthy option,Sweet,Bitter,,,,Mövenpick Halal Dark Chocolate Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Organic or additive free,Vegetarian or vegan alternative,Grab & go prepared food or drink,,Sweet,Sour,,,,Oatly Chemical-free Vegan Lemon Sorbet Ice Cream Cup
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Animal produce,,,Sweet,Salty,,,,Salted Caramel Indulgence Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,Animal produce,,,Sweet,Sour,,,,Solero Tangy Lemon Ice Cream Bar
Desserts,Ice cream,Ice cream,Frozen food,Animal produce,Unhealthy option,,,Sweet,,,,,Tesco Creamy Vanilla Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,,,,Sweet,Sour,,,,Asda Acidic Lemon Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Unhealthy option,,,,Sweet,Sour,,,,Morrisons Sour Lemon Swirl Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Grab & go prepared food or drink,Animal produce,,,Sweet,,,,,Wall's Creamy Vanilla Ice Cream Cone
Desserts,Ice cream,Ice cream,Frozen food,Grab & go prepared food or drink,Unhealthy option,Animal produce,,Sweet,Sour,,,,Nestle Zesty Lemon Ripple Ice Cream Tub
Desserts,Ice cream,Ice cream,Frozen food,Organic or additive free,Animal produce,Grab & go prepared food or drink,,Sweet,Salty,,,,Yeo Valley Organic Sea Salt Caramel Ice Cream Tub
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Asda Creamy Caramel Ice Cream Sauce 275ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,,,Sweet,Sour,,,,Askeys Zesty Lemon & Cream Ice Cream Topping 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Unhealthy option,,,Sweet,Umami,,,,Ben & Jerry's Malted Chocolate Fudge Ice Cream Sauce 290ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Cadbury Dairy Milk Chocolate Ice Cream Topping 300ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Unhealthy option,,,Sweet,Umami,,,,Carte D'Or Creamy Miso Caramel Ice Cream Sauce 300ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Hershey's Vanilla Ice Cream Topping 300ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Organic or additive free,Animal produce,,,Sweet,Salty,,,,Green & Black's Naturally grown Salted Caramel Ice Cream Topping 275ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Organic or additive free,Animal produce,,,Sweet,,,,,Biona Organic Vanilla Ice Cream Cones 4 Pack
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Unhealthy option,,,Sweet,,,,,Haagen-Dazs Caramel Swirl Ice Cream Topping 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,,,,Sweet,,,,,Lidl Indulgent Chocolate Ice Cream Sauce 300ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Morrisons Creamy Toffee Ice Cream Sauce 275ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,,,,Sweet,,,,,Nestlé Carnation Caramel Drizzle Ice Cream Sauce 300ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Organic or additive free,Animal produce,,,Sweet,Bitter,,,,Organically produced Burnt Caramel Ice Cream Sauce 275ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Organic or additive free,Animal produce,,,Sweet,Bitter,,,,Eco-friendly Dark Chocolate Ice Cream Sauce 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Organic or additive free,Animal produce,,,Sweet,Spicy,,,,Green Piquant Sweetener Ice Cream Topping 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Low calorie alternative,Unhealthy option,,,Sweet,Salty,,,,Salted Caramel Ice calorie-smart Cream Sauce 300ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Low calorie alternative,Animal produce,,Sweet,Sour,,,,Reduced Sugar Lemon Ice Cream Sauce 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Unhealthy option,,,Sweet,,,,,Sainsbury's Indulgent Toffee Ice Cream Sauce 275ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Unhealthy option,,,Sweet,Spicy,,,,Fiery Chocolate Ice Cream Topping 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,,,Sweet,Spicy,,,,Chilli Caramel Ice Cream Sauce 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Tesco Creamy Chocolate Ice Cream Sauce 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Unhealthy option,,,Sweet,,,,,Iceland Indulgent Toffee Ice Cream Topping 250ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,,,,Sweet,Salty,,,,Waitrose Salted Caramel Ice Cream Topping 275ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Low calorie alternative,Unhealthy option,,Sweet,,,,,Walls Light Chocolate lower-calorie Ice Cream Cones 4 Pack
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Animal produce,Low calorie alternative,,Sweet,,,,,Baskin-Robbins Light Vanilla Ice Cream Cones 4 Pack calorie-smart
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Unhealthy option,Low calorie alternative,Animal produce,,Sweet,Salty,,,,Kelly's of Cornwall Light Salted Caramel Ice Cream Cones 4 Pack
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Low calorie alternative,Unhealthy option,Animal produce,,Sweet,,,,,Co-op Light Toffee Ice Cream Cones 4 Pack
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Animal produce,Low calorie alternative,,,Sweet,,,,,Aldi Light Vanilla Ice Cream Cones 4 Pack
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Organic or additive free,Animal produce,,,Sweet,,,,,Yeo Valley Organically produced Sugar syrup Ice Cream Topping 275ml
Desserts,Ice cream,Ice cream sauces & cones,Frozen food,Organic or additive free,Animal produce,,,Sweet,,,,,Rachel's Organic Vanilla Ice Cream Sauce 275ml
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,Grab & go prepared food or drink,,,Sweet,Bitter,,,,Dark Chocolate & Orange Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,,,,Sweet,Bitter,,,,Dark Chocolate & Vanilla Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Health food or drink,Grab & go prepared food or drink,Low calorie alternative,,Sweet,Sour,,,,Calippo Lemon & Lime Ice Lollies calorie-light 5 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Animal produce,Unhealthy option,Grab & go prepared food or drink,,Sweet,Spicy,Sour,,,Chilli Lime Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,,,,Sweet,,,,,Cornetto Vanilla Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Grab & go prepared food or drink,Unhealthy option,,,Sweet,,,,,Fab Ice Lollies Strawberry & Vanilla 6 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Grab & go prepared food or drink,,,,Sweet,,,,,Fruit Twist Ice Lollies 6 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,,,,Sweet,Sour,,,,Lemon & Lime Splash Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,Grab & go prepared food or drink,,,Sweet,,,,,Magnum Vanilla & Caramel Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,,,,Sweet,,,,,Mini Milk Chocolate Ice Lollies 8 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Organic or additive free,Grab & go prepared food or drink,,,Sweet,Bitter,Sour,,,Organically produced Citrus Burst Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Grab & go prepared food or drink,Organic or additive free,,,Sweet,Sour,,,,Green Lemon & Lime Sorbet Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Organic or additive free,,,,Sweet,,,,,Eco-friendly Strawberry Delight Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Organic or additive free,Special event or occasion,Grab & go prepared food or drink,,Sweet,,,,,Green Summer Berry Celebration Ice Lollies 6 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Organic or additive free,Grab & go prepared food or drink,,,Sweet,,,,,Green Berry Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,,,,Sweet,,,,,Raspberry Ripple Ice Lollies 6 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,,,,Sweet,,,,,Rocket Lollies Strawberry & Vanilla 6 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Special event or occasion,Unhealthy option,Grab & go prepared food or drink,,Sweet,Salty,,,,Salted Caramel Celebration Ice Lollies 6 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,Grab & go prepared food or drink,,,Sweet,Umami,,,,Solero Exotic Miso Fusion Ice Lollies 3 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Low calorie alternative,Unhealthy option,,,Sweet,Umami,,,,Rowntree's Light Soya Twist Ice Lollies 3 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Low calorie alternative,,,,Sweet,,,,,Walls Light Tropical Fruit Ice Lollies 3 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Grab & go prepared food or drink,Unhealthy option,,,Sweet,Sour,,,,Tangy Cherry & Lemonade Ice Lollies 6 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Grab & go prepared food or drink,Unhealthy option,,,Sweet,Sour,,,,Tango Ice Blast Zesty Apple & Raspberry Ice Lollies 5 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Grab & go prepared food or drink,Unhealthy option,,,Sweet,Sour,,,,Barr Tropical Sour Ice Lollies 5 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,Grab & go prepared food or drink,,,Sweet,Sour,,,,Robinsons Zingy Lemon & Sharp Cherry Ice Lollies 5 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,Low calorie alternative,,,Sweet,Sour,,,,Tesco Light Lemon & Raspberry Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,Low calorie alternative,,,Sweet,,,,,Twister Light Berry Swirl Ice Lollies 3 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Low calorie alternative,Unhealthy option,,,Sweet,,,,,Popsicle Light Tropical Delight Ice Lollies 3 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Grab & go prepared food or drink,Unhealthy option,,,Sweet,Sour,,,,Zesty Lemon & Lime Ice Lollies 4 Pack
Desserts,Ice cream,Ice lollies,Frozen food,Unhealthy option,,,,Sweet,Sour,,,,Zesty Lemon Ice Lollies 4 Pack
Desserts,Ice cream,Other ice cream,Frozen food,Animal produce,,,,Sweet,,,,,Asda Creamy Vanilla Ice Cream 1L
Desserts,Ice cream,Other ice cream,Frozen food,Special event or occasion,Animal produce,Grab & go prepared food or drink,Unhealthy option,Sweet,Umami,Sour,,,Ben & Jerry’s Festive Acidic Cherry Cheesecake with Savoury Crust Ice Cream 500ml
Desserts,Ice cream,Other ice cream,Frozen food,Grab & go prepared food or drink,Animal produce,,,Sweet,,,,,Morrisons convenience Honeycomb Crunch Ice Cream 500ml
Desserts,Ice cream,Other ice cream,Frozen food,Kosher,Organic or additive free,Animal produce,,Sweet,Sour,,,,Chemical-free Kosher Lemon & Raspberry Ice Cream 500ml
Desserts,Ice cream,Other ice cream,Frozen food,Low calorie alternative,Organic or additive free,Animal produce,,Sweet,,,,,Green Vanilla Ice Reduced Calorie Cream 500ml
Desserts,Ice cream,Other ice cream,Frozen food,Organic or additive free,Animal produce,,,Sweet,Salty,Sour,,,Pesticide-free Salted Caramel Vinegary Cream Ice Cream 500ml
Desserts,Ice cream,Other ice cream,Frozen food,Unhealthy option,Animal produce,,,Sweet,,,,,Tesco Creamy Chocolate Ice Cream 1L
Desserts,Ice cream,Other ice cream,Frozen food,Unhealthy option,Grab & go prepared food or drink,Special event or occasion,Animal produce,Sweet,,,,,Walls Festive Celebration on-the-run Chocolate Ice Cream 500ml
Desserts,Ice cream,Other ice cream,Frozen food,Halal,Animal produce,Low calorie alternative,,Sweet,Bitter,Sour,,,Carte D’Or Halal Harsh Lemon reduced-calorie Sorbet 500ml
Desserts,Ice cream,Other ice cream,Frozen food,Animal produce,Low calorie alternative,Grab & go prepared food or drink,Unhealthy option,Sweet,Spicy,Sour,,,Haagen-Dazs Light Mouth burning Mango & Lime Sorbet (convenience) 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,Grab & go prepared food or drink,,,Sweet,Sour,,,,Aldi takeaway Tart Lemon Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,,,,Sweet,,,,,Haagen-Dazs Indulgent Berry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,Grab & go prepared food or drink,Low calorie alternative,,Sweet,Sour,,,,Ben & Jerry's Light grab & go Zesty Berry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Grab & go prepared food or drink,Organic or additive free,,,Sweet,Sour,,,,Breyers Naturally grown takeaway Tart Apple Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Organic or additive free,Vegetarian or vegan alternative,Grab & go prepared food or drink,,Sweet,Sour,,,,Carte D'Or Eco-friendly Vegan ready-to-eat Vinegary Lime Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,Low calorie alternative,,,Sweet,Sour,,,,Talenti calorie-reduced Acidic Lime Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,,,,Sweet,Sour,,,,Baskin Robbins Tart Citrus Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,,,,Sweet,Sour,,,,Ciao Bella Tart Cranberry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Health food or drink,Grab & go prepared food or drink,Vegetarian or vegan alternative,,Sweet,Bitter,,,,Jeni's quick service Balanced Vegan Grapefruit & Acrid Orange Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Halal,Unhealthy option,Grab & go prepared food or drink,,Sweet,Umami,,,,Asda on-the-run Halal Lychee & Thai Basil Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Grab & go prepared food or drink,Unhealthy option,,,Sweet,,,,,Co-op quick service Indulgent Pineapple Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Health food or drink,Grab & go prepared food or drink,,,Sweet,Sour,,,,Walls Healthy grab & go Zesty Lemon & Lime Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Low calorie alternative,Grab & go prepared food or drink,Unhealthy option,Kosher,Sweet,Bitter,Sour,,,Kosher Light Lemon & Tonic takeaway Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,Grab & go prepared food or drink,,,Sweet,,,,,M&S takeaway Raspberry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Special event or occasion,Unhealthy option,,,Sweet,Sour,,,,Morrisons Celebration Lime & Raspberry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,Special event or occasion,,,Sweet,,,,,Iceland Festive Orange Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,,,,Sweet,,,,,Farmfoods Indulgent Strawberry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,,,,Sweet,Sour,,,,Ocado Tart Grapefruit Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Organic or additive free,Grab & go prepared food or drink,,,Sweet,Salty,Sour,,,Eco-friendly ready-to-eat Sea Salt & Lime Sorbet 450ml
Desserts,Ice cream,Sorbet,Frozen food,Special event or occasion,Grab & go prepared food or drink,Unhealthy option,,Sweet,Sour,,,,Sainsbury's portable Celebration Lemon & Passion Fruit Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Kosher,Unhealthy option,,,Sweet,Sour,,,,Whole Foods Kosher Tart Cherry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Low calorie alternative,Unhealthy option,Grab & go prepared food or drink,,Sweet,Sour,,,,Tesco Light grab & go Sharp Berry Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,Low calorie alternative,Grab & go prepared food or drink,,Sweet,Sour,,,,Lidl convenience Citrus Sorbet lower-calorie 500ml
Desserts,Ice cream,Sorbet,Frozen food,Unhealthy option,Low calorie alternative,,,Sweet,Sour,,,,Costco ready-to-eat Reduced Sugar Lemon & Lime Sorbet 500ml
Desserts,Ice cream,Sorbet,Frozen food,Animal produce,Unhealthy option,,,Sweet,Spicy,Sour,,,"Trader Joe's Nectar Mango, Chilli & Lime Sorbet 500ml"
